Title: Health Care Expenditures per Capita by State of Residence | KFF,
Timeframe: 2014,
Location,Health Spending per Capita
United States,"$8,045 "
Alabama,"$7,281 "
Alaska,"$11,064 "
Arizona,"$6,452 "
Arkansas,"$7,408 "
California,"$7,549 "
Colorado,"$6,804 "
Connecticut,"$9,859 "
Delaware,"$10,254 "
District of Columbia,"$11,944 "
Florida,"$8,076 "
Georgia,"$6,587 "
Hawaii,"$7,299 "
Idaho,"$6,927 "
Illinois,"$8,262 "
Indiana,"$8,300 "
Iowa,"$8,200 "
Kansas,"$7,651 "
Kentucky,"$8,004 "
Louisiana,"$7,815 "
Maine,"$9,531 "
Maryland,"$8,602 "
Massachusetts,"$10,559 "
Michigan,"$8,055 "
Minnesota,"$8,871 "
Mississippi,"$7,646 "
Missouri,"$8,107 "
Montana,"$8,221 "
Nebraska,"$8,412 "
Nevada,"$6,714 "
New Hampshire,"$9,589 "
New Jersey,"$8,859 "
New Mexico,"$7,214 "
New York,"$9,778 "
North Carolina,"$7,264 "
North Dakota,"$9,851 "
Ohio,"$8,712 "
Oklahoma,"$7,627 "
Oregon,"$8,044 "
Pennsylvania,"$9,258 "
Rhode Island,"$9,551 "
South Carolina,"$7,311 "
South Dakota,"$8,933 "
Tennessee,"$7,372 "
Texas,"$6,998 "
Utah,"$5,982 "
Vermont,"$10,190 "
Virginia,"$7,556 "
Washington,"$7,913 "
West Virginia,"$9,462 "
Wisconsin,"$8,702 "
Wyoming,"$8,320 "
,
Notes,
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  ",
,
Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  ,
,
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416).",
,
Sources,
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), June 2017.",
,
"U.S. Population by State, 1991-2014 obtained from the U.S. Bureau of the Census, June 2017.",
,
Definitions,
"*Health Spending Per Capita* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence (aggregate spending divided by population). Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total.",
